,community
1195,5
1196,5
1197,0
1198,0
1199,13
1200,13
1201,13
1202,13
1203,9
1204,9
1205,17
1206,17
1207,13
1208,13
1209,13
1210,13
1211,13
1212,13
1213,13
1214,13
1215,13
1216,13
1217,6
1218,2
1219,2
1220,2
1221,4
1222,2
1223,2
1224,2
1225,2
1226,17
1227,9
1228,17
1229,17
1230,17
1231,17
1232,3
1233,3
1234,3
1235,3
1236,3
1237,3
1238,3
1239,11
1240,17
1241,23
1242,23
1243,23
1244,23
1245,23
1246,23
1247,23
1248,23
1249,5
1250,6
1251,13
1252,25
1253,25
1254,25
1255,25
1256,25
1257,25
1258,25
1259,25
1260,25
1261,7
1262,25
1263,9
1264,9
1265,9
1266,9
1267,9
1268,9
1269,9
1270,9
1271,9
1272,17
1273,17
1274,17
1275,17
1276,17
1277,17
1278,17
1279,13
1280,15
1281,15
1282,15
1283,15
1284,15
1285,15
1286,15
1287,0
1288,0
1289,0
1290,14
1291,14
1292,14
1293,14
1294,14
1295,14
1296,3
1297,20
1298,3
1299,21
1300,17
1301,0
1302,17
1303,5
1304,17
1305,0
1306,13
1307,21
1308,13
1309,22
1310,22
1311,22
1312,22
1313,22
1314,3
1315,3
1316,13
1317,13
1318,13
1319,6
1320,6
1321,18
1322,13
1323,6
1324,5
1325,22
1326,22
1327,22
1328,22
1329,22
1330,22
1331,21
1332,21
1333,13
1334,21
1335,3
1336,3
1337,3
1338,3
1339,3
1340,3
1341,3
1342,3
1343,1
1344,1
1345,13
1346,1
1347,1
1348,1
1349,1
1350,1
1351,9
1352,1
1353,1
1354,1
1355,1
1356,1
1357,5
1358,5
1359,5
1360,5
1361,5
1362,5
1363,4
1364,4
1365,4
1366,4
1367,4
1368,4
1369,4
1370,0
1371,0
1372,0
1373,22
1374,11
1375,11
1376,12
1377,12
1378,12
1379,12
1380,11
1381,11
1382,11
1383,11
1384,1
1385,1
1386,1
1387,1
1388,1
1389,1
1390,1
1391,1
1392,1
1393,1
